,good review,useful,funny,cool,is_open,business_stars_Bad,business_stars_Average,business_stars_Good,review_count_Low,review_count_Medium,review_count_High
195796,0,1,0,1,1,0,0,1,1,0,0
174251,1,0,0,0,1,0,0,1,1,0,0
139519,0,0,0,0,1,0,1,0,1,0,0
342844,1,0,0,0,1,0,0,1,1,0,0
123989,0,0,0,0,1,0,0,1,0,0,1
189303,1,0,0,0,1,0,0,1,0,0,1
45012,0,1,0,1,1,0,1,0,1,0,0
128181,0,0,0,0,0,0,0,1,1,0,0
42110,0,0,0,0,1,0,1,0,1,0,0
243433,0,0,0,0,1,0,1,0,1,0,0
51204,0,1,0,0,1,0,1,0,1,0,0
44059,0,0,0,0,1,1,0,0,1,0,0
310493,0,0,0,0,1,0,0,1,1,0,0
212729,0,0,0,0,0,0,0,1,1,0,0
164833,0,1,0,0,1,0,0,1,0,0,1
242849,1,0,0,0,0,0,0,1,0,0,0
67353,0,1,1,0,1,0,0,1,1,0,0
9220,0,1,0,1,1,0,1,0,1,0,0
22895,0,0,0,0,1,0,0,1,0,1,0
237595,1,0,0,0,1,0,0,1,0,0,0
273912,1,0,0,0,1,0,0,1,1,0,0
309232,1,0,0,0,1,0,0,1,0,1,0
284310,1,0,0,0,1,0,0,1,0,0,0
335304,1,0,0,0,0,0,0,1,1,0,0
22470,1,0,0,0,1,0,0,1,1,0,0
111207,0,0,0,0,0,0,0,1,0,0,1
11376,0,0,0,0,1,0,0,1,1,0,0
304626,1,0,0,0,1,0,0,1,1,0,0
293847,1,0,0,0,1,0,0,1,0,0,1
266822,1,0,0,0,1,0,0,1,1,0,0
321190,1,0,0,0,1,0,0,1,1,0,0
73866,1,0,0,0,0,0,0,1,1,0,0
57592,0,1,1,1,1,0,0,1,1,0,0
287016,0,1,0,0,1,0,0,1,1,0,0
324653,0,0,0,0,1,0,1,0,1,0,0
204691,0,1,0,0,1,0,0,1,1,0,0
127279,1,0,0,0,0,0,0,1,0,1,0
272580,0,1,0,1,1,0,1,0,1,0,0
176768,1,0,0,0,1,0,0,1,1,0,0
169407,1,0,0,0,1,0,0,1,1,0,0
93689,1,0,0,0,1,0,0,1,1,0,0
51423,1,1,0,1,1,0,0,1,1,0,0
192377,1,0,0,0,1,0,0,1,1,0,0
13824,0,0,0,0,1,0,1,0,1,0,0
227169,0,0,0,0,0,0,1,0,1,0,0
135782,1,0,0,0,0,0,0,1,1,0,0
35065,1,0,0,0,1,0,0,1,1,0,0
22609,1,0,0,0,1,0,0,1,1,0,0
9657,0,1,0,0,1,0,0,1,1,0,0
131707,0,1,0,0,1,0,0,1,1,0,0
110482,1,1,0,0,1,0,0,1,0,0,0
308960,0,0,0,0,1,0,1,0,1,0,0
250556,1,0,0,0,1,0,0,1,1,0,0
50062,0,1,1,0,1,0,0,1,1,0,0
120018,0,0,0,0,1,0,0,1,0,0,0
91638,0,0,0,0,1,0,1,0,1,0,0
150449,0,1,0,0,1,0,0,1,1,0,0
119578,1,0,0,0,1,0,0,1,1,0,0
163064,0,0,0,0,1,0,0,1,0,0,1
160595,0,0,0,0,1,0,1,0,1,0,0
121370,1,0,0,0,1,0,0,1,1,0,0
189425,1,0,0,0,1,0,0,1,0,1,0
5323,1,0,0,0,0,0,0,1,1,0,0
43387,0,0,0,0,1,0,0,1,1,0,0
158012,0,0,0,0,1,0,1,0,1,0,0
108433,0,0,0,0,1,0,0,1,1,0,0
282035,1,1,0,0,0,0,1,0,1,0,0
328652,0,0,0,0,1,0,1,0,1,0,0
116094,0,0,0,0,1,0,0,1,1,0,0
234075,1,0,0,0,1,0,0,1,1,0,0
292770,0,0,0,0,0,0,0,1,1,0,0
155869,1,0,0,0,1,0,0,1,1,0,0
215241,1,1,0,0,1,0,0,1,1,0,0
96418,0,0,0,0,1,0,0,1,1,0,0
131236,0,0,0,0,1,0,0,1,1,0,0
255067,0,1,1,1,1,0,0,1,1,0,0
19901,1,0,0,0,1,0,0,1,1,0,0
161232,0,0,0,0,1,0,1,0,1,0,0
72871,1,0,0,0,1,0,0,1,1,0,0
51129,1,0,0,0,1,0,0,1,1,0,0
328611,1,0,0,0,1,0,0,1,0,0,1
298943,0,0,0,0,1,0,0,1,1,0,0
175359,0,0,0,0,1,0,0,1,1,0,0
11673,1,1,0,1,0,0,0,1,1,0,0
17071,1,0,0,0,1,0,0,1,0,0,1
210533,0,0,0,0,1,0,0,1,1,0,0
258025,1,0,0,0,1,0,0,1,0,0,1
275342,0,1,1,1,1,0,1,0,1,0,0
88555,0,0,0,0,1,0,0,1,1,0,0
5098,0,0,0,0,0,0,0,1,1,0,0
204523,0,1,0,0,1,0,0,1,0,0,0
276176,0,0,0,0,1,0,1,0,1,0,0
61275,1,1,0,0,1,0,0,1,1,0,0
155849,0,1,0,0,1,0,0,1,0,1,0
264871,0,0,0,0,1,0,1,0,1,0,0
152843,0,1,0,0,1,0,0,1,0,0,0
124515,1,0,0,0,1,0,0,1,1,0,0
258906,1,0,0,0,0,0,0,1,1,0,0
133511,0,0,0,0,1,0,0,1,1,0,0
172090,1,0,0,0,1,0,0,1,1,0,0
71959,1,0,0,0,1,0,0,1,1,0,0
249305,0,0,0,0,0,0,0,1,1,0,0
6459,1,0,0,0,1,0,0,1,1,0,0
118377,0,1,0,0,1,0,1,0,1,0,0
347279,0,0,0,0,1,0,0,1,1,0,0
135961,0,0,0,0,1,0,0,1,1,0,0
341846,1,0,0,0,1,0,0,1,1,0,0
194928,0,0,0,0,0,0,0,1,1,0,0
46864,0,0,0,0,1,0,1,0,1,0,0
257949,0,1,0,0,1,1,0,0,1,0,0
234358,1,0,0,0,1,0,1,0,1,0,0
192903,0,0,0,0,1,0,0,1,1,0,0
208301,0,0,0,0,1,0,1,0,1,0,0
96662,1,0,0,0,1,0,0,1,1,0,0
294736,1,0,0,0,1,0,0,1,0,0,1
323808,0,0,0,0,1,0,0,1,1,0,0
304009,1,0,0,0,1,0,0,1,1,0,0
265091,0,0,0,0,1,0,1,0,1,0,0
205268,1,0,0,0,1,0,0,1,1,0,0
266286,1,0,0,0,1,0,0,1,1,0,0
98784,0,0,0,0,0,0,1,0,0,0,1
291451,1,0,0,0,1,0,0,1,1,0,0
76680,0,0,0,0,1,0,1,0,1,0,0
318122,0,0,0,0,0,0,0,1,1,0,0
271874,1,0,0,0,1,0,0,1,1,0,0
248294,1,0,0,0,1,0,0,1,1,0,0
49140,0,0,0,0,0,0,0,1,1,0,0
99387,1,0,0,0,1,0,0,1,1,0,0
89317,0,0,0,0,0,0,0,1,1,0,0
6051,0,1,0,0,1,0,1,0,1,0,0
254709,0,1,0,0,1,0,1,0,1,0,0
44556,1,0,0,0,1,0,0,1,0,0,0
334098,1,0,0,0,1,0,0,1,0,0,0
155443,1,0,0,0,0,0,0,1,1,0,0
329472,1,0,0,0,1,0,0,1,1,0,0
53431,1,0,0,0,1,0,0,1,1,0,0
71919,0,0,0,0,1,0,0,1,1,0,0
202495,1,0,0,0,1,0,0,1,1,0,0
205026,1,0,0,0,1,0,0,1,1,0,0
84223,0,1,1,0,1,0,1,0,1,0,0
187364,1,0,0,0,1,0,0,1,1,0,0
44970,0,0,0,0,0,0,0,1,1,0,0
155151,1,1,0,1,1,0,1,0,1,0,0
246586,1,0,0,1,1,0,0,1,1,0,0
300690,0,0,1,0,0,1,0,0,1,0,0
187701,0,1,1,0,1,0,0,1,1,0,0
265352,1,1,0,1,0,0,0,1,1,0,0
2583,1,0,0,0,1,0,0,1,1,0,0
227965,1,0,0,0,1,0,0,1,0,1,0
148074,0,0,0,0,0,0,0,1,0,1,0
44796,0,0,0,0,1,0,1,0,1,0,0
225309,0,0,0,0,1,0,0,1,0,0,1
202644,1,0,0,0,1,0,1,0,1,0,0
213399,1,0,0,0,0,0,0,1,1,0,0
157571,0,0,0,0,1,0,0,1,1,0,0
326911,0,1,1,0,1,0,0,1,1,0,0
143108,0,0,0,0,0,1,0,0,1,0,0
152899,1,0,0,0,1,0,0,1,1,0,0
310188,1,0,0,0,1,0,1,0,1,0,0
248952,0,0,0,0,1,0,0,1,1,0,0
129681,0,0,0,0,1,0,0,1,1,0,0
288644,1,1,0,0,1,0,0,1,1,0,0
121362,1,0,0,0,1,0,0,1,0,0,0
139991,0,0,0,0,1,0,0,1,1,0,0
53984,0,0,0,0,1,0,0,1,0,0,1
238058,0,0,0,0,1,0,0,1,1,0,0
13820,1,0,0,0,1,0,0,1,1,0,0
338684,0,0,0,0,1,0,0,1,0,0,1
105131,1,0,0,0,1,0,0,1,1,0,0
275382,0,1,0,1,1,0,1,0,1,0,0
167897,0,0,0,0,1,0,1,0,1,0,0
16670,1,0,0,0,1,0,0,1,0,0,1
288005,1,1,0,0,1,1,0,0,1,0,0
126253,0,1,1,1,1,0,0,1,1,0,0
206249,0,1,1,1,1,0,0,1,1,0,0
31874,0,0,0,0,1,0,0,1,1,0,0
190978,0,1,0,0,1,0,0,1,1,0,0
288346,0,0,0,0,1,0,0,1,1,0,0
189112,0,0,0,0,0,0,0,1,1,0,0
75729,0,1,0,0,1,0,0,1,0,0,0
328114,1,0,0,0,1,0,0,1,1,0,0
264308,1,1,0,1,1,0,0,1,1,0,0
245346,0,0,0,0,0,0,0,1,1,0,0
293810,0,0,0,0,1,0,0,1,1,0,0
295325,1,0,0,0,1,0,0,1,1,0,0
89939,1,0,0,0,1,0,0,1,0,1,0
78852,1,1,0,0,1,0,0,1,1,0,0
329767,1,1,0,0,1,0,0,1,1,0,0
124799,0,0,0,0,1,0,0,1,1,0,0
150388,0,0,0,0,0,0,0,1,1,0,0
185209,1,0,0,0,1,0,1,0,1,0,0
334213,1,0,0,0,0,0,0,1,1,0,0
48307,0,0,0,0,1,1,0,0,1,0,0
173212,0,0,0,0,1,0,0,1,1,0,0
269186,1,1,0,1,0,0,0,1,1,0,0
140916,0,1,0,1,1,0,0,1,1,0,0
53689,1,1,0,0,1,0,0,1,0,0,0
12165,0,0,0,0,1,0,1,0,1,0,0
329311,1,0,0,0,0,0,0,1,1,0,0
285090,0,1,0,0,1,0,0,1,1,0,0
212586,0,0,0,0,1,0,1,0,1,0,0
323278,1,1,0,1,1,0,1,0,1,0,0
132771,1,0,0,0,1,0,0,1,1,0,0
202876,0,1,1,1,1,0,0,1,1,0,0
37594,1,0,0,1,1,0,0,1,1,0,0
227865,1,0,0,0,1,0,0,1,1,0,0
305215,0,0,0,0,1,0,0,1,1,0,0
168235,0,0,0,0,1,1,0,0,1,0,0
248896,1,0,0,0,1,0,0,1,1,0,0
265333,0,0,0,0,1,0,0,1,1,0,0
18256,0,0,0,0,0,0,0,1,1,0,0
292478,0,0,0,0,1,0,1,0,1,0,0
116914,0,0,0,0,1,0,0,1,1,0,0
293782,0,0,0,0,1,0,0,1,1,0,0
294679,0,1,0,0,1,0,1,0,1,0,0
305717,0,1,0,0,1,0,1,0,1,0,0
296698,1,1,0,1,1,0,0,1,1,0,0
122995,0,1,1,0,1,0,0,1,1,0,0
175720,1,0,0,0,1,0,0,1,1,0,0
319616,0,1,0,0,1,0,0,1,1,0,0
27533,1,0,0,0,1,0,1,0,1,0,0
241360,0,0,0,0,1,0,0,1,1,0,0
37146,0,0,0,0,0,0,0,1,1,0,0
314518,1,1,1,1,1,0,0,1,1,0,0
200868,1,1,1,0,0,0,0,1,0,0,0
267148,1,1,0,1,1,0,0,1,1,0,0
68315,1,0,0,0,1,0,0,1,1,0,0
107842,1,0,0,0,1,0,0,1,1,0,0
252227,1,0,0,0,1,0,0,1,0,0,0
197485,1,0,0,0,1,0,1,0,1,0,0
1552,0,0,0,0,1,0,0,1,1,0,0
175242,1,0,0,0,1,0,0,1,1,0,0
19113,0,1,0,0,0,0,0,1,1,0,0
227350,1,0,0,0,0,0,0,1,1,0,0
37371,0,0,0,0,0,0,1,0,1,0,0
53036,1,0,0,0,1,0,0,1,0,1,0
49782,0,0,0,0,1,0,0,1,1,0,0
283187,0,0,0,0,1,0,1,0,0,0,0
143751,0,0,0,0,1,0,0,1,0,0,1
106781,1,0,0,0,1,0,0,1,1,0,0
228502,1,0,0,0,0,0,0,1,1,0,0
7361,1,0,0,0,1,0,0,1,1,0,0
100466,1,1,0,1,1,0,0,1,1,0,0
84061,1,1,0,1,1,0,0,1,1,0,0
296997,1,0,0,0,1,0,0,1,1,0,0
84682,0,0,0,0,1,1,0,0,1,0,0
306379,0,1,0,0,1,0,0,1,1,0,0
92474,1,0,0,0,1,0,0,1,0,0,1
97122,0,1,0,0,1,1,0,0,1,0,0
228028,1,0,0,0,1,0,0,1,1,0,0
153376,1,0,0,0,1,0,0,1,0,0,0
231480,0,0,0,0,1,0,1,0,1,0,0
239243,1,1,0,1,1,0,0,1,1,0,0
117225,0,0,0,0,1,0,0,1,1,0,0
326929,0,0,0,0,1,0,1,0,1,0,0
225013,0,0,0,0,1,0,1,0,1,0,0
195563,1,0,0,0,1,0,0,1,1,0,0
83105,0,0,0,0,1,0,1,0,1,0,0
133869,0,0,0,0,1,0,1,0,1,0,0
283599,1,0,0,0,0,0,0,1,1,0,0
101849,0,0,0,0,1,0,0,1,0,0,1
116446,1,0,0,0,1,0,0,1,1,0,0
127775,0,0,0,0,1,0,1,0,1,0,0
205215,1,0,0,0,1,0,0,1,0,0,1
318678,0,0,0,0,1,0,0,1,1,0,0
199708,1,0,0,0,1,0,0,1,0,0,0
265525,1,0,0,0,1,0,0,1,1,0,0
287886,1,0,0,0,1,0,0,1,1,0,0
85146,0,0,0,0,1,0,1,0,1,0,0
220527,1,0,0,0,1,0,0,1,1,0,0
11201,0,0,0,1,1,0,0,1,0,1,0
3407,0,1,1,1,0,0,0,1,0,0,1
328238,0,0,0,0,1,0,0,1,0,0,0
143014,1,0,0,0,1,0,0,1,1,0,0
1720,1,0,0,0,1,0,0,1,0,0,0
62101,0,0,0,0,1,0,0,1,1,0,0
205221,0,0,0,0,1,0,0,1,1,0,0
240438,0,0,0,0,1,0,0,1,1,0,0
107285,1,0,0,0,1,0,0,1,1,0,0
42238,0,0,0,0,1,0,0,1,0,0,0
74015,1,1,0,0,1,0,0,1,1,0,0
92362,1,1,0,1,1,0,0,1,1,0,0
124613,1,0,0,0,1,0,0,1,1,0,0
113931,1,0,0,0,1,0,0,1,1,0,0
233404,1,0,0,0,1,0,0,1,1,0,0
152803,1,0,0,0,1,0,0,1,1,0,0
214763,0,0,0,0,0,0,1,0,1,0,0
234771,1,0,0,0,1,0,0,1,0,0,1
183234,1,0,0,0,1,0,0,1,1,0,0
228909,1,0,0,0,1,0,0,1,0,0,0
120969,1,0,0,0,1,0,0,1,1,0,0
47458,0,0,0,0,1,0,0,1,1,0,0
167996,1,0,0,0,1,1,0,0,1,0,0
318603,1,0,0,0,1,0,0,1,1,0,0
39449,0,0,0,0,1,0,1,0,1,0,0
225133,1,0,0,0,1,0,0,1,1,0,0
14257,0,1,0,0,1,1,0,0,1,0,0
169599,1,0,0,0,1,0,0,1,1,0,0
317472,1,0,0,0,1,0,0,1,1,0,0
242798,1,0,0,0,1,0,0,1,1,0,0
151560,1,0,0,0,1,0,0,1,1,0,0
179467,0,1,0,0,0,0,1,0,1,0,0
140094,1,0,0,0,1,0,0,1,1,0,0
298415,0,0,0,1,1,0,0,1,0,0,1
339114,0,0,0,0,1,0,0,1,1,0,0
109016,1,0,0,0,1,0,0,1,0,1,0
159839,0,0,0,0,1,0,0,1,1,0,0
97840,1,0,0,0,1,0,0,1,1,0,0
321161,1,0,0,0,1,0,0,1,1,0,0
70036,0,0,0,0,1,0,0,1,1,0,0
149194,0,0,0,0,1,1,0,0,1,0,0
24270,0,0,0,0,1,0,0,1,1,0,0
9036,0,0,0,0,1,1,0,0,1,0,0
170668,0,1,0,0,1,1,0,0,0,0,1
239895,1,0,0,0,1,0,0,1,1,0,0
30309,1,0,0,0,1,0,1,0,1,0,0
204268,1,0,0,0,1,0,0,1,1,0,0
94694,1,0,0,0,1,0,0,1,0,1,0
178459,1,0,0,0,1,0,0,1,1,0,0
297307,1,1,0,0,1,0,0,1,1,0,0
140212,1,0,0,0,1,0,0,1,0,0,1
15196,0,1,0,0,1,0,0,1,1,0,0
308518,0,0,0,0,1,0,0,1,1,0,0
173679,1,0,0,0,1,0,0,1,1,0,0
178898,1,0,0,0,1,0,0,1,1,0,0
338180,1,0,0,0,1,0,0,1,0,0,1
25306,1,1,0,0,1,0,0,1,1,0,0
59474,1,0,0,0,1,0,0,1,1,0,0
74594,0,0,0,0,0,0,0,1,1,0,0
320027,1,0,0,0,1,0,1,0,1,0,0
76199,0,0,0,0,1,0,0,1,1,0,0
107424,1,0,0,0,1,0,1,0,1,0,0
311928,1,0,0,0,1,0,0,1,1,0,0
298395,0,1,0,0,1,0,0,1,1,0,0
33222,0,1,0,0,1,0,0,1,1,0,0
26327,0,0,0,0,1,0,0,1,1,0,0
292045,1,1,0,0,1,0,0,1,1,0,0
172190,1,0,0,0,1,0,0,1,1,0,0
52914,0,0,0,0,1,1,0,0,1,0,0
276291,0,1,0,1,1,0,0,1,1,0,0
300307,0,0,0,0,1,0,0,1,0,0,0
184353,1,0,0,0,1,0,0,1,1,0,0
205957,0,0,0,0,0,0,0,1,1,0,0
273907,0,0,0,0,1,1,0,0,1,0,0
48101,1,0,0,0,1,0,0,1,0,0,0
251436,1,0,0,0,0,0,0,1,1,0,0
250362,1,0,0,0,1,0,0,1,1,0,0
852,0,0,0,0,1,0,0,1,1,0,0
34306,0,1,1,1,1,0,1,0,1,0,0
603,1,0,0,0,0,0,0,1,1,0,0
223114,1,1,0,0,1,0,1,0,1,0,0
4106,0,1,1,0,1,0,0,1,0,1,0
242716,1,0,0,0,0,0,0,1,1,0,0
92089,0,0,0,0,1,0,0,1,1,0,0
86272,1,1,1,1,1,0,0,1,1,0,0
345099,0,0,0,0,1,0,0,1,1,0,0
277360,1,0,0,0,1,0,0,1,1,0,0
62113,0,0,0,0,1,0,0,1,1,0,0
294146,0,0,0,0,1,0,0,1,1,0,0
25414,0,0,0,0,1,0,0,1,1,0,0
231806,0,0,0,0,1,0,0,1,0,0,1
185803,0,0,0,0,1,1,0,0,1,0,0
141819,1,0,0,0,0,0,0,1,1,0,0
219302,1,0,0,0,1,0,0,1,1,0,0
44230,0,0,0,0,1,0,0,1,1,0,0
337478,0,0,0,0,1,0,1,0,1,0,0
132271,1,0,0,0,1,0,0,1,1,0,0
305272,0,0,0,0,1,0,1,0,1,0,0
216757,0,0,0,0,1,0,0,1,1,0,0
138401,0,0,0,0,0,0,0,1,1,0,0
52610,1,0,0,0,1,0,0,1,0,1,0
11726,0,0,0,0,0,0,1,0,1,0,0
93000,0,0,0,0,1,0,1,0,1,0,0
285015,1,0,0,0,0,0,0,1,1,0,0
168237,0,1,1,1,0,0,0,1,1,0,0
205754,0,0,0,0,1,0,1,0,1,0,0
166781,1,0,0,0,1,0,0,1,1,0,0
65444,0,0,0,0,1,0,0,1,1,0,0
14651,0,0,0,0,1,0,0,1,1,0,0
25540,0,0,0,0,1,0,1,0,1,0,0
145644,0,0,0,0,1,0,0,1,1,0,0
335029,0,0,0,0,1,0,0,1,1,0,0
75774,1,0,0,0,1,0,0,1,1,0,0
57961,0,0,0,0,1,0,0,1,0,0,0
38507,0,0,0,0,1,1,0,0,1,0,0
128423,0,0,0,0,1,0,0,1,1,0,0
210540,0,0,0,0,1,0,0,1,1,0,0
251312,0,0,0,0,1,0,0,1,0,1,0
99780,0,0,0,0,1,0,0,1,0,0,1
73765,0,1,1,0,1,0,1,0,0,0,0
304810,1,1,0,0,1,0,0,1,1,0,0
273192,0,0,0,0,1,0,0,1,1,0,0
100578,1,0,0,0,1,0,0,1,1,0,0
224239,0,1,0,0,1,0,1,0,1,0,0
288301,0,1,0,1,1,0,0,1,1,0,0
263515,1,1,0,0,0,0,0,1,0,0,1
107485,1,0,0,0,0,0,0,1,1,0,0
27609,0,1,1,1,1,0,0,1,1,0,0
24925,0,0,0,0,1,0,0,1,1,0,0
249049,0,0,0,0,1,0,0,1,1,0,0
154733,0,0,0,0,1,0,0,1,1,0,0
330226,0,1,0,0,1,0,0,1,1,0,0
276973,1,1,1,1,1,0,1,0,1,0,0
103108,1,0,0,0,1,0,0,1,1,0,0
24185,0,0,0,0,0,0,0,1,1,0,0
212714,0,1,0,0,1,0,0,1,1,0,0
112403,0,0,0,0,1,0,1,0,1,0,0
174006,1,0,0,0,1,0,0,1,0,0,0
346335,1,1,0,1,0,0,0,1,1,0,0
121679,0,0,0,0,1,0,0,1,1,0,0
89632,1,0,0,0,1,0,0,1,1,0,0
65899,0,0,0,0,1,0,1,0,1,0,0
277500,1,0,0,0,1,0,0,1,1,0,0
237301,0,1,0,0,1,0,0,1,1,0,0
26717,0,0,0,0,1,0,0,1,0,0,0
232015,0,0,0,0,1,0,0,1,1,0,0
20112,0,0,0,0,1,0,0,1,1,0,0
74127,0,0,0,0,1,0,0,1,0,0,0
195197,0,0,0,0,1,0,0,1,1,0,0
245435,1,0,0,0,1,0,0,1,1,0,0
5559,0,0,0,0,1,0,0,1,1,0,0
111852,0,0,0,0,1,0,1,0,1,0,0
145092,0,0,0,0,1,1,0,0,1,0,0
78612,0,1,1,0,1,0,0,1,1,0,0
27315,0,0,0,0,0,0,1,0,1,0,0
135359,0,0,0,0,1,0,0,1,1,0,0
328649,0,0,0,0,1,1,0,0,1,0,0
77498,0,0,0,0,1,0,0,1,1,0,0
149451,0,0,0,0,0,0,0,1,1,0,0
51326,0,0,0,0,1,0,1,0,1,0,0
270610,1,1,0,0,1,0,0,1,1,0,0
176706,0,0,0,0,1,1,0,0,1,0,0
72476,1,0,0,0,0,0,0,1,1,0,0
51634,1,0,0,0,0,0,0,1,1,0,0
178361,1,0,1,0,1,1,0,0,1,0,0
299410,0,0,0,0,1,0,0,1,1,0,0
246496,0,0,0,0,1,0,1,0,1,0,0
283924,0,1,0,0,1,0,0,1,1,0,0
320040,0,0,0,0,0,0,0,1,1,0,0
327021,1,0,0,0,1,0,0,1,1,0,0
278307,1,0,0,0,1,0,1,0,1,0,0
120000,0,0,0,0,1,0,0,1,1,0,0
42605,1,0,0,0,1,0,0,1,1,0,0
109672,1,1,0,0,0,0,0,1,1,0,0
72044,1,0,0,0,0,0,0,1,1,0,0
339528,1,1,0,0,1,0,0,1,1,0,0
260947,1,0,0,0,1,0,0,1,1,0,0
268019,0,1,0,0,1,0,1,0,0,0,0
244027,0,0,0,0,1,0,1,0,1,0,0
321686,1,0,0,0,1,0,0,1,1,0,0
344715,1,0,0,0,1,0,0,1,1,0,0
147379,0,0,0,0,1,0,1,0,1,0,0
96350,1,0,0,0,1,0,0,1,0,0,0
46732,1,0,0,0,1,0,0,1,1,0,0
100519,1,0,0,0,1,0,0,1,1,0,0
263492,0,0,0,0,1,0,0,1,0,0,1
28447,0,0,0,0,1,0,1,0,1,0,0
76209,1,1,0,1,1,0,0,1,0,0,0
131679,1,0,0,0,1,0,0,1,1,0,0
86449,1,0,0,0,1,0,0,1,1,0,0
49760,0,0,0,0,1,0,0,1,1,0,0
316051,1,0,0,0,1,1,0,0,1,0,0
138985,1,0,0,0,1,0,0,1,1,0,0
139382,1,0,0,1,1,0,0,1,1,0,0
266143,1,0,0,0,1,0,0,1,1,0,0
39010,1,0,0,0,1,0,0,1,1,0,0
169273,0,1,1,0,1,0,0,1,1,0,0
237653,0,0,0,0,1,0,0,1,1,0,0
161720,0,1,0,0,1,0,1,0,1,0,0
153037,1,1,0,1,1,0,0,1,0,0,0
120160,1,0,0,0,0,0,0,1,1,0,0
253336,0,0,0,0,0,0,1,0,1,0,0
248057,0,1,1,1,1,0,1,0,1,0,0
210342,1,0,0,0,1,0,0,1,1,0,0
138399,1,1,1,1,0,0,0,1,1,0,0
270481,1,0,0,0,1,0,0,1,1,0,0
98551,1,0,0,0,1,0,0,1,1,0,0
176693,0,0,0,0,1,1,0,0,1,0,0
329819,0,0,0,0,1,1,0,0,1,0,0
241877,0,0,0,0,1,0,1,0,0,0,0
56711,0,1,0,1,1,0,0,1,0,0,1
291317,1,0,0,0,1,1,0,0,1,0,0
